scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
permuted_leaders,v1,10,42,-68537.87977912414,31404.12022087585,99942.0,15000,12400,16,9,11.871818899991922,True,True
permuted_leaders,new,10,42,28903.267032816264,48903.26703281626,20000.0,7064,6492,16,10,3.4153198999702,False,True
permuted_leaders,v1,11,42,-249035.65820611303,-149035.65820611303,100000.0,15000,9926,16,5,7.592653099971358,True,True
permuted_leaders,new,11,42,-395568.18931553466,-327774.18931553466,67794.0,15000,13403,16,8,10.173880899965296,True,True
permuted_leaders,v1,12,42,-121081.98751583336,-21367.98751583336,99714.0,15000,12400,16,8,13.404445399995891,True,True
permuted_leaders,new,12,42,-343068.3881506081,-301140.3881506081,41928.0,15000,13579,16,8,6.590436000027694,True,True
sign_reversed,v1,10,42,-164648.7101432113,-65952.71014321131,98696.0,15000,12200,16,7,24.80715040001087,True,True
sign_reversed,new,10,42,-223841.89218107343,-203841.89218107343,20000.0,3201,2925,16,1,4.528672800050117,True,True
sign_reversed,v1,11,42,327958.0582024541,427958.0582024541,100000.0,15000,9726,16,6,8.20521619997453,False,True
sign_reversed,new,11,42,265259.7543165229,341917.7543165229,76658.0,15000,13096,16,5,3.942894599982537,False,True
sign_reversed,v1,12,42,-41811.55562323867,57902.44437676133,99714.0,15000,12400,16,8,8.123291100026108,True,True
sign_reversed,new,12,42,430939.8130189772,488175.8130189772,57236.0,15000,12634,16,5,4.869999800052028,False,True
weak_history,v1,10,42,11013313.47243859,11113313.47243859,100000.0,15000,12435,16,6,7.097600899985991,False,True
weak_history,new,10,42,11306988.82584574,11406984.82584574,99996.0,12039,9674,16,4,2.457842400006484,False,True
weak_history,v1,11,42,11731420.187960465,11831420.187960465,100000.0,15000,12128,16,5,5.701949899957981,False,True
weak_history,new,11,42,12460023.124381188,12555085.124381188,95062.0,15000,12840,16,5,2.44922479998786,False,True
weak_history,v1,12,42,10203794.828981737,10303794.828981737,100000.0,15000,12277,16,6,6.0714923000196,False,True
weak_history,new,12,42,9810528.448137533,9910526.448137533,99998.0,15000,12565,16,5,3.574785800010432,False,True
low_conversion,v1,10,42,-84814.07760765478,15127.922392345225,99942.0,15000,12400,16,9,11.290491899999324,True,True
low_conversion,new,10,42,5834.833159953581,25834.83315995358,20000.0,4074,3702,16,8,2.5060530999908224,False,True
low_conversion,v1,11,42,-95905.69135337089,4094.308646629116,100000.0,15000,9726,16,6,5.608721599972341,True,True
low_conversion,new,11,42,-49497.84194228629,7310.158057713704,56808.0,15000,12634,16,6,3.4509054999798536,True,True
low_conversion,v1,12,42,-88593.2064757256,11120.793524274402,99714.0,15000,12400,16,8,7.621221699984744,True,True
low_conversion,new,12,42,-30464.28357624537,28303.71642375463,58768.0,15000,13693,16,8,3.422829300048761,True,True
saturated_calls,v1,10,42,19930405.395629685,20027773.395629685,97368.0,15000,12132,16,5,5.729137199989054,False,True
saturated_calls,new,10,42,18491729.836650968,18591727.836650968,99998.0,14843,12960,16,6,3.627439200005029,False,True
saturated_calls,v1,11,42,18439804.71140508,18539804.71140508,100000.0,15000,12531,16,5,10.66930200002389,False,True
saturated_calls,new,11,42,20591856.510159053,20688450.510159053,96594.0,15000,12971,16,5,4.118194199982099,False,True
saturated_calls,v1,12,42,19800006.397464637,19899274.397464637,99268.0,15000,12292,16,5,6.628306900034659,False,True
saturated_calls,new,12,42,18184527.39792455,18284525.39792455,99998.0,14843,12967,16,6,3.1951496999827214,False,True
near_zero,v1,10,42,-107004.72473409049,-7062.724734090492,99942.0,15000,12400,16,9,9.2299275000114,True,True
near_zero,new,10,42,-19323.0993664683,676.9006335316993,20000.0,4036,3664,16,5,3.8945696000009775,True,True
near_zero,v1,11,42,-73710.39611572961,26289.603884270386,100000.0,15000,9726,16,6,6.96043620002456,True,True
near_zero,new,11,42,-38231.49484049193,20404.505159508077,58636.0,15000,12892,16,8,4.917727700027172,True,True
near_zero,v1,12,42,-87934.87292782331,11779.127072176696,99714.0,15000,12400,16,8,5.850661799951922,True,True
near_zero,new,12,42,-49358.53119928182,9409.468800718185,58768.0,15000,13693,16,8,3.1307109000044875,True,True
model_holdout_permuted_leaders,v1,31,42,-904721.136927136,-804721.1369271361,100000.0,14646,12046,16,10,10.30259069998283,True,True
model_holdout_permuted_leaders,new,31,42,-296781.05822196347,-228987.0582219635,67794.0,15000,13785,16,8,4.574405900028069,True,True
model_holdout_weak_history,v1,31,42,9307590.2246789,9407590.2246789,100000.0,15000,11505,16,7,9.895989899989218,False,True
model_holdout_weak_history,new,31,42,7106126.385271946,7206124.385271946,99998.0,15000,12384,16,6,5.251284999947529,False,True
model_holdout_saturated_calls,v1,31,42,21045564.051779084,21144832.051779084,99268.0,15000,12125,16,5,7.262102300010156,False,True
model_holdout_saturated_calls,new,31,42,21772273.858294025,21865067.858294025,92794.0,14323,12290,16,5,4.001531199959572,False,True
